IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.159.134.173,443,443,TRUE,FRA,Europe,Frankfurt,338,5.1
34.118.26.158,443,443,TRUE,FRA,Europe,Frankfurt,327,5.1
34.89.147.232,443,443,TRUE,FRA,Europe,Frankfurt,255,5.09
34.116.191.120,443,443,TRUE,FRA,Europe,Frankfurt,327,5.09
34.91.133.138,443,443,TRUE,FRA,Europe,Frankfurt,194,5.09
34.141.81.29,443,443,TRUE,FRA,Europe,Frankfurt,221,5.08
34.118.75.249,443,443,TRUE,FRA,Europe,Frankfurt,266,5.07
34.90.10.137,443,443,TRUE,FRA,Europe,Frankfurt,279,5.06
34.65.16.137,443,443,TRUE,FRA,Europe,Frankfurt,252,5.06
34.91.133.176,443,443,TRUE,FRA,Europe,Frankfurt,272,5.06
34.118.75.249,443,443,TRUE,FRA,Europe,Frankfurt,202,5.06
34.65.111.146,443,443,TRUE,FRA,Europe,Frankfurt,188,5.06
34.116.128.251,443,443,TRUE,FRA,Europe,Frankfurt,314,5.05
34.118.74.155,443,443,TRUE,FRA,Europe,Frankfurt,268,5.05
34.118.46.204,443,443,TRUE,FRA,Europe,Frankfurt,268,5.05
35.204.139.87,443,443,TRUE,FRA,Europe,Frankfurt,258,5.04
34.65.16.137,443,443,TRUE,FRA,Europe,Frankfurt,258,5.03
34.118.4.22,443,443,TRUE,FRA,Europe,Frankfurt,225,5.02
34.116.149.54,443,443,TRUE,FRA,Europe,Frankfurt,285,5.01
34.116.214.69,443,443,TRUE,FRA,Europe,Frankfurt,213,5.01
34.118.117.182,443,443,TRUE,FRA,Europe,Frankfurt,269,5
34.107.56.108,443,443,TRUE,FRA,Europe,Frankfurt,184,5
34.159.55.116,443,443,TRUE,FRA,Europe,Frankfurt,297,4.99
34.32.179.95,443,443,TRUE,FRA,Europe,Frankfurt,263,4.99
34.118.110.163,443,443,TRUE,FRA,Europe,Frankfurt,281,4.99
34.154.70.46,443,443,TRUE,FRA,Europe,Frankfurt,256,4.99
34.91.230.226,443,443,TRUE,FRA,Europe,Frankfurt,267,4.99
34.90.184.47,443,443,TRUE,FRA,Europe,Frankfurt,262,4.99
34.65.65.92,443,443,TRUE,FRA,Europe,Frankfurt,255,4.99
34.118.90.82,443,443,TRUE,FRA,Europe,Frankfurt,268,4.98
34.65.127.188,443,443,TRUE,FRA,Europe,Frankfurt,260,4.98
34.90.91.229,443,443,TRUE,FRA,Europe,Frankfurt,260,4.98
35.204.20.127,443,443,TRUE,FRA,Europe,Frankfurt,210,4.98
34.118.74.155,443,443,TRUE,FRA,Europe,Frankfurt,284,4.98
34.154.238.214,443,443,TRUE,FRA,Europe,Frankfurt,255,4.97
34.116.233.124,443,443,TRUE,FRA,Europe,Frankfurt,269,4.97
34.90.42.149,443,443,TRUE,FRA,Europe,Frankfurt,261,4.97
34.116.233.181,443,443,TRUE,FRA,Europe,Frankfurt,248,4.96
34.154.185.228,443,443,TRUE,FRA,Europe,Frankfurt,259,4.95
34.118.62.176,443,443,TRUE,FRA,Europe,Frankfurt,222,4.95
34.116.214.20,443,443,TRUE,FRA,Europe,Frankfurt,339,4.94
34.116.179.255,443,443,TRUE,FRA,Europe,Frankfurt,301,4.94
34.154.143.109,443,443,TRUE,FRA,Europe,Frankfurt,265,4.93
34.154.111.205,443,443,TRUE,FRA,Europe,Frankfurt,273,4.93
34.154.125.224,443,443,TRUE,FRA,Europe,Frankfurt,252,4.93
34.118.111.34,443,443,TRUE,FRA,Europe,Frankfurt,203,4.93
34.154.134.105,443,443,TRUE,FRA,Europe,Frankfurt,268,4.92
34.118.38.185,443,443,TRUE,FRA,Europe,Frankfurt,280,4.92
34.107.12.181,443,443,TRUE,FRA,Europe,Frankfurt,262,4.91
34.34.1.41,443,443,TRUE,FRA,Europe,Frankfurt,273,4.91
34.32.153.28,443,443,TRUE,FRA,Europe,Frankfurt,259,4.91
34.107.49.198,443,443,TRUE,FRA,Europe,Frankfurt,250,4.9
