IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
183.232.159.226,2052,2086,false,HKG,Asia Pacific,Hong Kong,4,2.38
35.241.88.58,443,443,true,HKG,Asia Pacific,Hong Kong,170,0.96
35.220.226.120,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,0.78
8.210.48.107,2087,2087,true,HKG,Asia Pacific,Hong Kong,23,0.77
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,261,0.77
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,0.77
47.243.74.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,31,0.76
47.242.252.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,33,0.75
8.210.48.107,8443,8443,true,HKG,Asia Pacific,Hong Kong,41,0.75
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,36,0.73
47.243.90.180,8080,8080,false,HKG,Asia Pacific,Hong Kong,21,0.69
8.210.48.107,2096,2096,true,HKG,Asia Pacific,Hong Kong,63,0.69
8.210.55.134,2086,2086,false,HKG,Asia Pacific,Hong Kong,28,0.66
47.242.232.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,33,0.65
8.210.100.23,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,0.64
8.210.48.107,2083,2083,true,HKG,Asia Pacific,Hong Kong,46,0.60
8.210.55.134,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,0.58
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,35,0.58
47.243.183.127,80,80,false,HKG,Asia Pacific,Hong Kong,38,0.58
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,30,0.56
47.242.252.237,80,80,false,HKG,Asia Pacific,Hong Kong,28,0.51
8.218.85.128,8880,8880,false,HKG,Asia Pacific,Hong Kong,60,0.49
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,0.46
47.243.255.224,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,0.39
47.243.255.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,0.36
8.217.193.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,0.35
35.201.195.227,443,443,true,HKG,Asia Pacific,Hong Kong,199,0.34
47.242.232.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,30,0.29
103.48.169.9,38835,443,true,HKG,Asia Pacific,Hong Kong,19,0.25
154.88.31.91,30000,443,true,HKG,Asia Pacific,Hong Kong,23,0.20
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,35,0.11
43.154.96.33,80,80,false,HKG,Asia Pacific,Hong Kong,35,0.07
8.210.100.23,2082,2082,false,HKG,Asia Pacific,Hong Kong,51,0.07
8.210.100.23,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,0.06
34.80.235.175,2053,443,true,HKG,Asia Pacific,Hong Kong,108,0.05
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,39,0.02
47.243.74.220,8080,8080,false,HKG,Asia Pacific,Hong Kong,30,0.01
219.76.13.164,443,443,true,HKG,Asia Pacific,Hong Kong,29,0.00
219.76.13.180,443,443,true,HKG,Asia Pacific,Hong Kong,41,0.00
219.76.13.166,443,443,true,HKG,Asia Pacific,Hong Kong,45,0.00
47.243.74.220,2082,2082,false,HKG,Asia Pacific,Hong Kong,50,0.00
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,36,0.00
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,146,0.00
219.76.13.177,443,443,true,HKG,Asia Pacific,Hong Kong,24,0.00
141.11.125.215,443,443,true,HKG,Asia Pacific,Hong Kong,54,0.00
