IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.36.183.121,80,80,false,HKG,Asia Pacific,Hong Kong,53,2.00
34.160.118.77,80,80,false,LAX,North America,Los Angeles,215,1.57
38.47.119.110,44403,443,true,LAX,North America,Los Angeles,209,1.19
154.12.39.11,38668,443,true,LAX,North America,Los Angeles,183,1.02
154.9.241.14,34237,2096,true,LAX,North America,Los Angeles,223,0.94
154.12.39.241,41847,443,true,LAX,North America,Los Angeles,212,0.91
38.47.116.136,34237,2096,true,LAX,North America,Los Angeles,164,0.88
154.12.59.101,443,443,true,LAX,North America,Los Angeles,197,0.83
154.29.146.16,10594,443,true,LAX,North America,Los Angeles,222,0.82
154.9.251.214,34237,2096,true,LAX,North America,Los Angeles,224,0.76
89.213.184.236,17618,443,true,LAX,North America,Los Angeles,217,0.74
154.9.230.113,34237,2096,true,LAX,North America,Los Angeles,233,0.73
152.70.155.147,80,80,false,LAX,North America,Los Angeles,218,0.73
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,219,0.68
154.9.251.210,34237,2096,true,LAX,North America,Los Angeles,204,0.68
152.70.155.147,2095,2095,false,LAX,North America,Los Angeles,230,0.68
38.47.113.19,34237,2096,true,LAX,North America,Los Angeles,170,0.62
154.12.39.241,13789,443,true,LAX,North America,Los Angeles,210,0.61
154.7.180.105,53028,443,true,LAX,North America,Los Angeles,204,0.61
107.148.82.228,443,443,true,LAX,North America,Los Angeles,201,0.60
23.224.97.85,32554,443,true,LAX,North America,Los Angeles,212,0.58
66.154.116.165,443,443,true,LAX,North America,Los Angeles,224,0.58
154.7.183.12,58623,443,true,LAX,North America,Los Angeles,214,0.53
154.9.230.7,34237,2096,true,LAX,North America,Los Angeles,215,0.46
154.7.179.92,35616,443,true,LAX,North America,Los Angeles,224,0.46
23.225.116.68,45853,443,true,LAX,North America,Los Angeles,208,0.46
154.40.57.145,34237,2096,true,LAX,North America,Los Angeles,233,0.45
107.148.42.163,443,443,true,LAX,North America,Los Angeles,196,0.45
38.47.116.156,34237,2096,true,LAX,North America,Los Angeles,200,0.44
34.110.234.120,80,80,false,LAX,North America,Los Angeles,211,0.40
154.40.32.15,8443,443,true,LAX,North America,Los Angeles,196,0.38
23.224.97.85,32137,443,true,LAX,North America,Los Angeles,220,0.37
38.47.114.55,34237,2096,true,LAX,North America,Los Angeles,211,0.37
154.40.35.27,50007,443,true,LAX,North America,Los Angeles,192,0.37
156.251.189.154,8443,443,true,LAX,North America,Los Angeles,218,0.35
2.56.255.165,20379,443,true,LAX,North America,Los Angeles,226,0.35
43.250.104.125,30165,443,true,LAX,North America,Los Angeles,180,0.34
89.213.182.210,34814,443,true,LAX,North America,Los Angeles,216,0.33
154.29.150.145,57608,443,true,LAX,North America,Los Angeles,225,0.32
185.183.84.237,14395,443,true,LAX,North America,Los Angeles,212,0.30
34.117.254.68,80,80,false,LAX,North America,Los Angeles,217,0.24
154.40.57.178,34237,2096,true,LAX,North America,Los Angeles,229,0.24
154.7.179.92,20536,443,true,LAX,North America,Los Angeles,211,0.23
2.59.151.128,33557,443,true,LAX,North America,Los Angeles,224,0.21
154.29.146.240,17697,443,true,LAX,North America,Los Angeles,208,0.21
107.150.100.118,8080,443,true,LAX,North America,Los Angeles,223,0.19
23.224.33.154,20908,443,true,LAX,North America,Los Angeles,212,0.18
192.210.187.72,443,443,true,LAX,North America,Los Angeles,224,0.14
152.70.155.147,2052,2052,false,LAX,North America,Los Angeles,230,0.13
2.56.255.33,46115,443,true,LAX,North America,Los Angeles,248,0.13
152.70.155.147,2082,2082,false,LAX,North America,Los Angeles,231,0.13
45.249.244.53,443,443,true,LAX,North America,Los Angeles,223,0.12
23.224.239.206,46449,443,true,LAX,North America,Los Angeles,199,0.11
45.249.244.53,80,80,false,LAX,North America,Los Angeles,227,0.09
165.154.182.118,56332,443,true,LAX,North America,Los Angeles,227,0.07
38.47.115.89,34237,2096,true,LAX,North America,Los Angeles,210,0.07
23.94.213.132,27149,443,true,LAX,North America,Los Angeles,235,0.07
154.40.57.206,34237,2096,true,LAX,North America,Los Angeles,224,0.06
198.46.200.138,54986,443,true,LAX,North America,Los Angeles,224,0.06
103.14.35.56,443,443,true,LAX,North America,Los Angeles,204,0.05
20.33.30.36,2083,443,true,LAX,North America,Los Angeles,311,0.05
23.94.213.192,2001,2053,true,LAX,North America,Los Angeles,213,0.04
154.9.251.200,34237,2096,true,LAX,North America,Los Angeles,231,0.03
152.32.211.127,80,80,false,LAX,North America,Los Angeles,216,0.03
2.59.151.136,22091,443,true,LAX,North America,Los Angeles,233,0.03
198.46.200.138,30089,443,true,LAX,North America,Los Angeles,226,0.03
34.111.135.19,80,80,false,LHR,Europe,London,232,0.03
23.224.81.196,40761,443,true,LAX,North America,Los Angeles,213,0.01
152.32.130.241,80,80,false,LAX,North America,Los Angeles,223,0.00
199.180.155.172,443,443,true,LAX,North America,Los Angeles,237,0.00
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,225,0.00
152.70.155.147,443,443,true,LAX,North America,Los Angeles,232,0.00
