IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.78.1,2053,0,true,SIN,Asia Pacific,Singapore,57,1.74
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,253,1.67
47.236.10.182,8080,0,false,SIN,Asia Pacific,Singapore,252,1.55
47.236.10.182,8880,0,false,SIN,Asia Pacific,Singapore,255,1.52
47.236.171.205,2086,0,false,SIN,Asia Pacific,Singapore,243,1.30
8.219.4.122,8443,0,true,SIN,Asia Pacific,Singapore,63,1.20
8.222.191.138,2053,2053,true,SIN,Asia Pacific,Singapore,56,1.14
8.219.67.133,2095,0,false,SIN,Asia Pacific,Singapore,65,1.00
47.236.169.164,2082,0,false,SIN,Asia Pacific,Singapore,245,1.00
47.236.5.223,80,0,false,SIN,Asia Pacific,Singapore,235,0.99
47.236.144.48,2086,0,false,SIN,Asia Pacific,Singapore,231,0.95
47.237.95.13,80,0,false,SIN,Asia Pacific,Singapore,285,0.95
8.219.163.195,2083,0,true,SIN,Asia Pacific,Singapore,214,0.94
8.219.117.198,8880,8880,false,SIN,Asia Pacific,Singapore,61,0.92
47.236.104.11,8080,0,false,SIN,Asia Pacific,Singapore,255,0.92
8.219.11.158,2095,2095,false,SIN,Asia Pacific,Singapore,59,0.92
47.237.0.31,8080,0,false,SIN,Asia Pacific,Singapore,294,0.87
8.219.210.64,2082,0,false,SIN,Asia Pacific,Singapore,212,0.87
47.237.82.15,2086,0,false,SIN,Asia Pacific,Singapore,298,0.86
47.236.168.17,80,0,false,SIN,Asia Pacific,Singapore,223,0.84
47.236.144.156,2082,0,false,SIN,Asia Pacific,Singapore,245,0.83
47.236.117.48,2082,2082,false,SIN,Asia Pacific,Singapore,228,0.81
8.219.100.168,2095,0,false,SIN,Asia Pacific,Singapore,68,0.78
47.237.14.220,2087,0,true,SIN,Asia Pacific,Singapore,288,0.77
47.236.102.102,8880,0,false,SIN,Asia Pacific,Singapore,224,0.73
8.219.110.81,2083,0,true,SIN,Asia Pacific,Singapore,62,0.72
47.236.10.100,2082,0,false,SIN,Asia Pacific,Singapore,217,0.71
47.236.170.54,2086,0,false,SIN,Asia Pacific,Singapore,237,0.70
8.219.222.98,2082,0,false,SIN,Asia Pacific,Singapore,223,0.66
47.245.118.70,8880,0,false,SIN,Asia Pacific,Singapore,300,0.65
47.245.86.230,8080,0,false,SIN,Asia Pacific,Singapore,301,0.63
47.245.118.70,2052,0,false,SIN,Asia Pacific,Singapore,298,0.63
8.219.98.13,8443,0,true,SIN,Asia Pacific,Singapore,57,0.62
47.236.10.182,2095,0,false,SIN,Asia Pacific,Singapore,219,0.60
47.245.114.163,2095,0,false,SIN,Asia Pacific,Singapore,293,0.60
8.222.146.222,80,0,false,SIN,Asia Pacific,Singapore,63,0.60
8.222.164.209,2087,0,true,SIN,Asia Pacific,Singapore,64,0.57
8.219.117.198,2082,0,false,SIN,Asia Pacific,Singapore,61,0.57
47.237.100.206,2082,0,false,SIN,Asia Pacific,Singapore,293,0.57
47.236.102.102,8443,0,true,SIN,Asia Pacific,Singapore,227,0.57
8.222.214.231,8443,0,true,SIN,Asia Pacific,Singapore,68,0.56
8.219.229.190,2083,0,true,SIN,Asia Pacific,Singapore,232,0.56
47.236.104.11,2086,0,false,SIN,Asia Pacific,Singapore,216,0.56
8.219.113.232,2095,0,false,SIN,Asia Pacific,Singapore,69,0.55
8.219.1.92,2086,0,false,SIN,Asia Pacific,Singapore,65,0.55
8.219.11.158,2083,0,true,SIN,Asia Pacific,Singapore,66,0.55
8.219.120.87,2083,0,true,SIN,Asia Pacific,Singapore,65,0.54
8.222.237.131,2095,0,false,SIN,Asia Pacific,Singapore,60,0.53
47.236.171.205,2052,0,false,SIN,Asia Pacific,Singapore,230,0.53
