IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.104.37,2095,2095,false,SIN,Asia Pacific,Singapore,66,2.48
8.219.11.158,2086,2086,false,SIN,Asia Pacific,Singapore,81,2.44
8.222.179.231,2086,2086,false,SIN,Asia Pacific,Singapore,68,2.19
8.210.100.23,8443,8443,true,HKG,Asia Pacific,Hong Kong,30,2.02
8.210.174.156,2087,0,true,SJC,North America,San Jose,252,2.01
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,62,1.92
8.219.99.169,80,0,false,SIN,Asia Pacific,Singapore,74,1.90
8.222.244.192,2095,2095,false,SIN,Asia Pacific,Singapore,67,1.87
8.219.83.71,2087,2087,true,SIN,Asia Pacific,Singapore,61,1.86
47.243.67.28,2082,2082,false,SJC,North America,San Jose,187,1.79
47.243.107.148,8080,8080,false,SJC,North America,San Jose,187,1.64
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,238,1.56
8.219.110.81,8880,0,false,SIN,Asia Pacific,Singapore,60,1.55
8.219.99.169,2082,0,false,SIN,Asia Pacific,Singapore,59,1.53
8.210.245.224,2095,0,false,SJC,North America,San Jose,183,1.51
8.217.159.210,2086,2086,false,HKG,Asia Pacific,Hong Kong,25,1.45
8.210.65.1,8443,0,true,SJC,North America,San Jose,183,1.45
8.219.120.87,2083,2083,true,SIN,Asia Pacific,Singapore,62,1.36
8.218.122.55,2095,0,false,SJC,North America,San Jose,185,1.35
8.210.146.108,2096,2096,true,SJC,North America,San Jose,194,1.35
8.218.188.129,2095,2095,false,SJC,North America,San Jose,190,1.33
8.210.39.96,2082,2082,false,SJC,North America,San Jose,200,1.33
47.76.29.115,2096,2096,true,SJC,North America,San Jose,190,1.32
47.243.60.150,2083,0,true,SJC,North America,San Jose,193,1.31
8.218.122.55,2083,2083,true,SJC,North America,San Jose,187,1.25
47.76.77.103,80,0,false,SJC,North America,San Jose,186,1.25
8.217.127.73,8080,0,false,SJC,North America,San Jose,192,1.24
8.218.211.17,8080,8080,false,SJC,North America,San Jose,216,1.23
8.210.48.107,2096,0,true,HKG,Asia Pacific,Hong Kong,29,1.23
8.219.113.232,80,80,false,SIN,Asia Pacific,Singapore,58,1.22
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,227,1.21
47.76.49.246,8880,8880,false,SJC,North America,San Jose,187,1.21
47.76.233.67,2053,2053,true,SJC,North America,San Jose,214,1.20
47.236.169.141,2052,2052,false,SIN,Asia Pacific,Singapore,242,1.18
47.236.165.25,80,0,false,SIN,Asia Pacific,Singapore,223,1.17
47.243.67.28,8443,8443,true,SJC,North America,San Jose,188,1.17
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,298,1.16
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,266,1.16
8.219.114.201,2082,0,false,SIN,Asia Pacific,Singapore,57,1.15
8.218.155.238,8880,8880,false,SJC,North America,San Jose,194,1.15
8.217.221.165,2082,2082,false,SJC,North America,San Jose,218,1.15
47.76.94.15,8080,8080,false,SJC,North America,San Jose,190,1.15
47.242.171.94,2096,2096,true,SJC,North America,San Jose,190,1.15
8.210.207.214,2095,2095,false,SJC,North America,San Jose,195,1.14
47.243.5.154,2096,2096,true,SJC,North America,San Jose,208,1.13
47.243.169.63,2096,0,true,SJC,North America,San Jose,218,1.11
47.76.225.255,8443,8443,true,SJC,North America,San Jose,186,1.11
8.210.156.6,2095,2095,false,SJC,North America,San Jose,201,1.11
47.76.94.15,2096,0,true,SJC,North America,San Jose,188,1.11
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,292,1.10
47.236.180.24,2087,2087,true,SIN,Asia Pacific,Singapore,230,1.09
47.76.146.1,2087,2087,true,SJC,North America,San Jose,191,1.09
47.243.203.119,2052,2052,false,SJC,North America,San Jose,187,1.09
47.242.17.250,80,80,false,SJC,North America,San Jose,197,1.08
47.76.26.26,2083,0,true,SJC,North America,San Jose,184,1.05
8.210.3.24,2083,2083,true,SJC,North America,San Jose,177,1.03
47.236.172.95,80,0,false,SIN,Asia Pacific,Singapore,227,1.03
8.219.210.57,2087,2087,true,SIN,Asia Pacific,Singapore,224,1.02
8.210.39.96,2087,2087,true,SJC,North America,San Jose,187,1.02
8.219.6.150,2096,2096,true,SIN,Asia Pacific,Singapore,56,1.00
8.222.146.222,2083,2083,true,SIN,Asia Pacific,Singapore,70,0.98
8.218.81.14,8443,0,true,SJC,North America,San Jose,189,0.98
47.236.5.223,8880,8880,false,SIN,Asia Pacific,Singapore,250,0.98
47.236.146.249,8080,0,false,SIN,Asia Pacific,Singapore,235,0.97
8.222.144.50,8080,0,false,SIN,Asia Pacific,Singapore,101,0.97
47.243.60.150,2087,2087,true,SJC,North America,San Jose,188,0.96
8.210.34.188,2082,2082,false,SJC,North America,San Jose,192,0.95
