IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.101.120.12,443,,TRUE,youxuan,youxuan,youxuan,30,6.27
108.162.195.172,443,,TRUE,youxuan,youxuan,youxuan,38,6.19
190.93.246.93,443,,TRUE,youxuan,youxuan,youxuan,71,6.18
108.162.196.87,443,,TRUE,youxuan,youxuan,youxuan,53,6.18
108.162.194.240,443,,TRUE,youxuan,youxuan,youxuan,27,6.17
108.162.193.65,443,,TRUE,youxuan,youxuan,youxuan,27,6.15
108.162.198.102,443,,TRUE,youxuan,youxuan,youxuan,65,6.13
141.101.90.101,443,,TRUE,youxuan,youxuan,youxuan,71,6.13
103.21.244.238,443,,TRUE,youxuan,youxuan,youxuan,34,5.1
173.245.59.216,443,,TRUE,youxuan,youxuan,youxuan,35,3.42
141.101.120.12,80,,FALSE,youxuan,youxuan,youxuan,30,6.27
108.162.195.172,80,,FALSE,youxuan,youxuan,youxuan,38,6.19
190.93.246.93,80,,FALSE,youxuan,youxuan,youxuan,71,6.18
108.162.196.87,80,,FALSE,youxuan,youxuan,youxuan,53,6.18
108.162.194.240,80,,FALSE,youxuan,youxuan,youxuan,27,6.17
108.162.193.65,80,,FALSE,youxuan,youxuan,youxuan,27,6.15
108.162.198.102,80,,FALSE,youxuan,youxuan,youxuan,65,6.13
141.101.90.101,80,,FALSE,youxuan,youxuan,youxuan,71,6.13
103.21.244.238,80,,FALSE,youxuan,youxuan,youxuan,34,5.1
173.245.59.216,80,,FALSE,youxuan,youxuan,youxuan,35,3.42
