IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.207.143.37,443,443,True,HKG,Asia Pacific,Hong Kong,197,2.36
8.218.207.169,2096,2096,True,HKG,Asia Pacific,Hong Kong,26,2.17
47.242.171.94,80,80,False,HKG,Asia Pacific,Hong Kong,32,1.7
8.217.149.28,80,80,False,HKG,Asia Pacific,Hong Kong,31,1.67
8.217.239.116,80,80,False,HKG,Asia Pacific,Hong Kong,34,1.52
47.76.77.103,2053,2053,True,HKG,Asia Pacific,Hong Kong,22,1.23
8.210.9.129,8080,8080,False,HKG,Asia Pacific,Hong Kong,31,1.18
8.217.239.116,8880,8880,False,HKG,Asia Pacific,Hong Kong,33,1.14
47.237.81.112,8443,8443,True,SIN,Asia Pacific,Singapore,268,1.13
8.218.181.189,2052,2052,False,HKG,Asia Pacific,Hong Kong,30,1.0
47.76.77.103,8880,8880,False,HKG,Asia Pacific,Hong Kong,31,1.0
8.217.239.116,2095,2095,False,HKG,Asia Pacific,Hong Kong,26,0.98
47.76.159.146,2053,2053,True,HKG,Asia Pacific,Hong Kong,27,0.97
8.218.207.169,2052,2052,False,HKG,Asia Pacific,Hong Kong,34,0.96
8.218.65.237,8080,8080,False,HKG,Asia Pacific,Hong Kong,35,0.96
43.129.171.137,443,443,True,HKG,Asia Pacific,Hong Kong,35,0.89
47.76.33.40,2087,2087,True,HKG,Asia Pacific,Hong Kong,36,0.87
47.76.159.146,2096,2096,True,HKG,Asia Pacific,Hong Kong,30,0.85
47.76.146.1,2095,2095,False,HKG,Asia Pacific,Hong Kong,29,0.8
47.76.77.103,2095,2095,False,HKG,Asia Pacific,Hong Kong,29,0.75
8.218.188.129,2095,2095,False,HKG,Asia Pacific,Hong Kong,35,0.74
8.217.239.116,2086,2086,False,HKG,Asia Pacific,Hong Kong,31,0.73
8.218.188.129,2086,2086,False,HKG,Asia Pacific,Hong Kong,34,0.71
8.210.107.246,2082,2082,False,HKG,Asia Pacific,Hong Kong,32,0.71
8.218.207.169,2095,2095,False,HKG,Asia Pacific,Hong Kong,28,0.7
18.162.32.152,443,443,True,HKG,Asia Pacific,Hong Kong,40,0.69
8.217.239.116,2082,2082,False,HKG,Asia Pacific,Hong Kong,33,0.68
8.217.149.28,8080,8080,False,HKG,Asia Pacific,Hong Kong,36,0.67
8.210.9.129,80,80,False,HKG,Asia Pacific,Hong Kong,32,0.66
47.76.33.40,2052,2052,False,HKG,Asia Pacific,Hong Kong,34,0.65
47.76.159.146,80,80,False,HKG,Asia Pacific,Hong Kong,32,0.65
8.218.207.169,2053,2053,True,HKG,Asia Pacific,Hong Kong,34,0.65
8.218.207.169,80,80,False,HKG,Asia Pacific,Hong Kong,35,0.64
47.76.77.103,8443,8443,True,HKG,Asia Pacific,Hong Kong,33,0.63
8.210.107.246,80,80,False,HKG,Asia Pacific,Hong Kong,32,0.55
8.217.251.62,8080,8080,False,HKG,Asia Pacific,Hong Kong,30,0.54
47.242.171.94,2053,2053,True,HKG,Asia Pacific,Hong Kong,28,0.54
8.218.188.129,8880,8880,False,HKG,Asia Pacific,Hong Kong,32,0.54
8.210.107.246,2095,2095,False,HKG,Asia Pacific,Hong Kong,33,0.53
8.218.188.129,2052,2052,False,HKG,Asia Pacific,Hong Kong,39,0.51
8.218.181.189,8880,8880,False,HKG,Asia Pacific,Hong Kong,29,0.47
47.76.94.15,2083,2083,True,HKG,Asia Pacific,Hong Kong,31,0.47
154.88.31.91,30000,443,True,HKG,Asia Pacific,Hong Kong,20,0.45
8.217.221.165,2087,2087,True,HKG,Asia Pacific,Hong Kong,27,0.44
47.76.146.1,2053,2053,True,HKG,Asia Pacific,Hong Kong,31,0.39
47.238.235.163,443,443,True,HKG,Asia Pacific,Hong Kong,25,0.38
8.217.221.165,2052,2052,False,HKG,Asia Pacific,Hong Kong,39,0.37
35.241.88.58,443,443,True,HKG,Asia Pacific,Hong Kong,196,0.35
103.44.255.81,443,443,True,HKG,Asia Pacific,Hong Kong,18,0.34
47.76.94.15,2096,2096,True,HKG,Asia Pacific,Hong Kong,32,0.31
8.217.221.165,2083,2083,True,HKG,Asia Pacific,Hong Kong,35,0.3
